Recensement agricole 2020; ; ; ; ; ; ; 
Référentiel géographique : France  par Commune 2020; ; ; ; ; ; ; 
Code;Libellé;Nombre d’exploitations avec des vaches laitières, 2020;Nombre d’exploitations avec des vaches laitières, 2020 - estimation (*=oui);Nombre moyen de vaches nourrices par exploitation, 2020;Nombre moyen de vaches nourrices par exploitation, 2020 - estimation (*=oui);Nombre moyen de vaches laitières par exploitation, 2020;Nombre moyen de vaches laitières par exploitation, 2020 - estimation (*=oui);Nombre de vaches laitières, 2020;Nombre de vaches laitières, 2020 - estimation (*=oui);Nombre de vaches nourrices, 2020;Nombre de vaches nourrices, 2020 - estimation (*=oui);Nombre d’exploitations avec des vaches nourrices, 2020;Nombre d’exploitations avec des vaches nourrices, 2020 - estimation (*=oui)
01113;Condeissiat;10;;N/A - secret statistique;;94;;937;;N/A - secret statistique;;3;
01114;Confort;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01115;Confrançon;4;;36;;44;;175;;218;;6;
01116;Contrevoz;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01117;Conzieu;0;;0;;0;;0;;0;;0;
01118;Corbonod;3;;16;;56;;169;;62;;4;
01121;Corlier;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01123;Cormoranche-sur-Saône;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01124;Cormoz;3;;N/A - secret statistique;;73;;219;;N/A - secret statistique;;N/A - secret statistique;
01125;Corveissiat;4;;11;;93;;371;;42;;4;
01127;Courmangoux;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01128;Courtes;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01129;Crans;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01130;Bresse Vallons;6;;N/A - secret statistique;;79;;473;;N/A - secret statistique;;3;
01133;Cressin-Rochefort;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01134;Crottet;N/A - secret statistique;;16;;N/A - secret statistique;;N/A - secret statistique;;48;;3;
01135;Crozet;0;*;0;*;0;*;0;*;0;*;0;*
01136;Cruzilles-lès-Mépillat;N/A - secret statistique;;23;;N/A - secret statistique;;N/A - secret statistique;;70;;3;
01138;Culoz;0;;0;;0;;0;;0;;0;
01139;Curciat-Dongalon;8;;93;;73;;582;;464;;5;
01140;Curtafond;4;;N/A - secret statistique;;90;;359;;N/A - secret statistique;;N/A - secret statistique;
01141;Cuzieu;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01142;Dagneux;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01143;Divonne-les-Bains;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01145;Dompierre-sur-Veyle;5;;N/A - secret statistique;;76;;378;;N/A - secret statistique;;N/A - secret statistique;
01146;Dompierre-sur-Chalaronne;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01147;Domsure;3;;N/A - secret statistique;;136;;407;;N/A - secret statistique;;N/A - secret statistique;
01148;Dortan;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01149;Douvres;0;;0;;0;;0;;0;;0;
01150;Drom;4;;N/A - secret statistique;;74;;296;;N/A - secret statistique;;N/A - secret statistique;
01151;Druillat;3;;N/A - secret statistique;;46;;139;;N/A - secret statistique;;N/A - secret statistique;
01152;Échallon;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01153;Échenevex;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01155;Évosges;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01156;Faramans;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01157;Fareins;0;;0;;0;;0;;0;;0;
